"","Unweighted","Weighted"
"n"," 4427","36588058.00"
"PAGE (mean (SD))","68.28 (10.20)","      68.42 (9.08)"
"Sex = Female (%)"," 2621 (59.2) "," 19976317.0 (54.6) "
"Race_Ethnicity (%)"," "," "
"   Black","  738 (16.7) ","  3228429.0 ( 8.8) "
"   Hispanic","  661 (14.9) ","  3286491.0 ( 9.0) "
"   Other","  143 ( 3.2) ","  1214336.0 ( 3.3) "
"   White"," 2885 (65.2) "," 28858802.0 (78.9) "
"Education (%)"," "," "
"   Less than HS","  833 (18.8) ","  5078676.0 (13.9) "
"   HS graduate"," 1349 (30.5) "," 10833204.0 (29.6) "
"   Some college"," 1103 (24.9) ","  9328066.0 (25.5) "
"   College+"," 1142 (25.8) "," 11348112.0 (31.0) "
"SCHLYRS (mean (SD))","13.23 (6.73)","      13.53 (5.35)"
"Cog_Score_2016 (mean (SD))","15.13 (4.43)","      15.63 (4.34)"
"Dementia_IMP_2016 (%)"," "," "
"   CIND","  737 (16.6) ","  4866354.0 (13.3) "
"   Dementia","  162 ( 3.7) ","  1158316.0 ( 3.2) "
"   Normal"," 3528 (79.7) "," 30563388.0 (83.5) "
"A_positive = TRUE (%)"," 1963 (44.3) "," 16080001.0 (43.9) "
"T_positive = TRUE (%)"," 1016 (23.0) ","  8118171.0 (22.2) "
"N_positive = TRUE (%)"," 2266 (51.2) "," 18216856.0 (49.8) "
"AD_pathology (%)"," "," "
"   AD pathology","  535 (12.1) ","  4253970.0 (11.6) "
"   Amyloid only"," 1428 (32.3) "," 11826031.0 (32.3) "
"   Normal biomarkers"," 1145 (25.9) ","  9781682.0 (26.7) "
"   Suspected non-AD"," 1319 (29.8) "," 10726375.0 (29.3) "
