"Education","N","Biomarker","Estimate","SE","CI_Lower","CI_Upper","P_Value"
"Less than HS",833,"Amyloid+",0.736354094884797,0.29040605533931,0.16633140668012,1.30637678308947,0.0114092012086898
"Less than HS",833,"Tau+",-0.776269723053193,0.366489824731329,-1.4956332185868,-0.0569062275195846,0.0344636468099396
"Less than HS",833,"Neurodegeneration+",-1.0170509271678,0.369299806507618,-1.74192998732713,-0.29217186700846,0.00601689542027319
"HS graduate",1349,"Amyloid+",-0.352754915793605,0.203940872504249,-0.752833048731506,0.0473232171442953,0.0839155761718454
"HS graduate",1349,"Tau+",-0.872326182620559,0.262315005188835,-1.38691894781214,-0.357733417428979,0.00090650992453703
"HS graduate",1349,"Neurodegeneration+",-0.5673087165178,0.268862987411354,-1.09474689356786,-0.0398705394677353,0.035040821624145
"Some college",1103,"Amyloid+",0.610032477064071,0.224828172851004,0.168889298949245,1.0511756551789,0.00676572633834741
"Some college",1103,"Tau+",-0.766833153236192,0.296551095391024,-1.34870637239421,-0.184959934078174,0.00984260370871114
"Some college",1103,"Neurodegeneration+",0.193210292396955,0.27946018428722,-0.355128255613749,0.741548840407659,0.489479947703635
"College+",1142,"Amyloid+",0.159067422545539,0.214860528882705,-0.262501822748693,0.580636667839771,0.459253935581923
"College+",1142,"Tau+",-0.794873725617915,0.285952130352927,-1.35592895716754,-0.233818494068286,0.00553019099963965
"College+",1142,"Neurodegeneration+",-0.719001067280888,0.273013259349517,-1.25466945783077,-0.183332676731008,0.00856417281132057
