"Group","Biomarker","N","AUC","AUC_Lower","AUC_Upper"
"White Women","NfL",1642,0.688718119527979,0.650967707149229,0.726468531906728
"White Women","GFAP",1642,0.670571627965994,0.630965349599772,0.710177906332216
"White Women","pTau181",1642,0.655878061159751,0.615540910165473,0.696215212154029
"White Men","NfL",1243,0.707955278239467,0.670775240770693,0.745135315708241
"White Men","GFAP",1243,0.693282653515345,0.653303899036186,0.733261407994503
"White Men","pTau181",1243,0.642334904589339,0.601699640851951,0.682970168326727
"Black Women","NfL",489,0.655963590709353,0.601548095075412,0.710379086343295
"Black Women","GFAP",489,0.637078886796401,0.579960356492401,0.694197417100401
"Black Women","pTau181",489,0.629085582757899,0.572939497663146,0.685231667852653
"Black Men","NfL",249,0.622299916920521,0.549607510259576,0.694992323581465
"Black Men","GFAP",249,0.604818609803379,0.530361940627767,0.67927527897899
"Black Men","pTau181",249,0.552617003600111,0.47656868750981,0.628665319690411
