"Race_Ethnicity","Risk_Decile","N","Predicted","Observed"
"Black",1,103,0.113557869664341,0.194174757281553
"Black",2,80,0.115396548539693,0.2125
"Black",3,79,0.134571342525514,0.329113924050633
"Black",4,84,0.134571342525514,0.202380952380952
"Black",5,71,0.166337019174841,0.28169014084507
"Black",6,43,0.208683389568739,0.209302325581395
"Black",7,84,0.236855909283702,0.297619047619048
"Black",8,82,0.242484333302063,0.451219512195122
"Black",9,51,0.309607235428024,0.411764705882353
"Black",10,61,0.3614783299554,0.573770491803279
"Hispanic",1,67,0.113557869664341,0.313432835820896
"Hispanic",2,82,0.115095440849305,0.121951219512195
"Hispanic",3,85,0.134571342525514,0.223529411764706
"Hispanic",4,90,0.134571342525514,0.177777777777778
"Hispanic",5,66,0.153823491208966,0.272727272727273
"Hispanic",6,47,0.208899593033765,0.276595744680851
"Hispanic",7,72,0.238872761223615,0.333333333333333
"Hispanic",8,67,0.242484333302063,0.462686567164179
"Hispanic",9,41,0.302677928458696,0.585365853658537
"Hispanic",10,44,0.361803810225949,0.613636363636364
"Other",1,10,0.113557869664341,0.1
"Other",2,13,0.115174290653662,0.153846153846154
"Other",3,30,0.134571342525514,0.133333333333333
"Other",4,14,0.134571342525514,0.214285714285714
"Other",5,13,0.157375049308045,0.0769230769230769
"Other",6,14,0.208683389568739,0.428571428571429
"Other",7,21,0.232353170069014,0.238095238095238
"Other",8,14,0.242484333302063,0.214285714285714
"White",1,263,0.113557869664341,0.0798479087452472
"White",2,268,0.115753307127448,0.082089552238806
"White",3,249,0.134571342525514,0.0642570281124498
"White",4,255,0.134571342525514,0.0588235294117647
"White",5,293,0.172768464507702,0.109215017064846
"White",6,339,0.20874333979208,0.162241887905605
"White",7,266,0.238307450214753,0.120300751879699
"White",8,279,0.242484333302063,0.164874551971326
"White",9,344,0.317235250468163,0.26453488372093
"White",10,329,0.360331333524776,0.322188449848024
