"AB_cutpoint","pTau_cutpoint","NfL_cutpoint","N_A_pos","Pct_A_pos","N_T_pos","Pct_T_pos","N_N_pos","Pct_N_pos","N_AD_path","Pct_AD_path"
0.06,2,15,1561,35.2608990286876,1498,33.8378134176643,2730,61.6670431443415,635,14.3437994126948
0.063,2,15,1963,44.3415405466456,1498,33.8378134176643,2730,61.6670431443415,755,17.0544386717868
0.065,2,15,2257,50.9826067314208,1498,33.8378134176643,2730,61.6670431443415,849,19.1777727580754
0.06,2.5,15,1561,35.2608990286876,1016,22.9500790603117,2730,61.6670431443415,454,10.2552518635645
0.063,2.5,15,1963,44.3415405466456,1016,22.9500790603117,2730,61.6670431443415,535,12.0849333634515
0.065,2.5,15,2257,50.9826067314208,1016,22.9500790603117,2730,61.6670431443415,601,13.5757849559521
0.06,3,15,1561,35.2608990286876,682,15.4054664558392,2730,61.6670431443415,303,6.84436412920714
0.063,3,15,1963,44.3415405466456,682,15.4054664558392,2730,61.6670431443415,366,8.2674497402304
0.065,3,15,2257,50.9826067314208,682,15.4054664558392,2730,61.6670431443415,411,9.28393946238988
0.06,2,20,1561,35.2608990286876,1498,33.8378134176643,2266,51.1859046758527,635,14.3437994126948
0.063,2,20,1963,44.3415405466456,1498,33.8378134176643,2266,51.1859046758527,755,17.0544386717868
0.065,2,20,2257,50.9826067314208,1498,33.8378134176643,2266,51.1859046758527,849,19.1777727580754
0.06,2.5,20,1561,35.2608990286876,1016,22.9500790603117,2266,51.1859046758527,454,10.2552518635645
0.063,2.5,20,1963,44.3415405466456,1016,22.9500790603117,2266,51.1859046758527,535,12.0849333634515
0.065,2.5,20,2257,50.9826067314208,1016,22.9500790603117,2266,51.1859046758527,601,13.5757849559521
0.06,3,20,1561,35.2608990286876,682,15.4054664558392,2266,51.1859046758527,303,6.84436412920714
0.063,3,20,1963,44.3415405466456,682,15.4054664558392,2266,51.1859046758527,366,8.2674497402304
0.065,3,20,2257,50.9826067314208,682,15.4054664558392,2266,51.1859046758527,411,9.28393946238988
0.06,2,25,1561,35.2608990286876,1498,33.8378134176643,2027,45.7872148181613,635,14.3437994126948
0.063,2,25,1963,44.3415405466456,1498,33.8378134176643,2027,45.7872148181613,755,17.0544386717868
0.065,2,25,2257,50.9826067314208,1498,33.8378134176643,2027,45.7872148181613,849,19.1777727580754
0.06,2.5,25,1561,35.2608990286876,1016,22.9500790603117,2027,45.7872148181613,454,10.2552518635645
0.063,2.5,25,1963,44.3415405466456,1016,22.9500790603117,2027,45.7872148181613,535,12.0849333634515
0.065,2.5,25,2257,50.9826067314208,1016,22.9500790603117,2027,45.7872148181613,601,13.5757849559521
0.06,3,25,1561,35.2608990286876,682,15.4054664558392,2027,45.7872148181613,303,6.84436412920714
0.063,3,25,1963,44.3415405466456,682,15.4054664558392,2027,45.7872148181613,366,8.2674497402304
0.065,3,25,2257,50.9826067314208,682,15.4054664558392,2027,45.7872148181613,411,9.28393946238988
